Variable,Data included in analyses,Data Type,Description
stimulus,Yes,IV,Photo of the player
randStimulusFace,Yes,IV,Photo of the player
decisionThis,Yes,IV,Decision of the focal player
decisionOther,No,IV,Decision of the opposing player (participants were not shown this information)
pot,Yes,IV,Size of the jackpot
q1responseArray,Yes,DV,omega^base_Money - focal player's preference
q2responseArray,Yes,DV,omega^base_AIA - focal player's preference
q3responseArray,Yes,DV,omega^base_DIA - focal player's preference
BTS_actual_otherDecisionConfidence,Yes,DV,pi_a_2 - focal player's belief about opponent's intended action
gender,No,Participant-level response - choice from array,«What is your gender?»
subjectId,Yes,Participant-level data - generated by experiment webapp,Participant identifier
Data_Set,Yes,Participant-level data - generated by experiment webapp,Experiment tracking
HITID,Yes,Participant-level data - generated by experiment webapp,mTurk HIT Id
